district_id,district,region,pct_over_8km,salary_byn,category,label,highlight,settlements_total,settlements_over_8km,population_total,pct_65plus,tooltip
BY001001,Baranovichi,Brest,0.0,2270.2,Other districts,,0,280,0,26617,24.2,"Baranovichi, Brest Region | 0.0% of settlements over 8 km | 2,270 BYN average monthly gross wage"
BY001002,Bereza,Brest,0.9,2427.0,Other districts,,0,106,1,57008,21.4,"Bereza, Brest Region | 0.9% of settlements over 8 km | 2,427 BYN average monthly gross wage"
BY001003,Brest,Brest,0.0,2502.0,Other districts,,0,179,0,45756,17.9,"Brest, Brest Region | 0.0% of settlements over 8 km | 2,502 BYN average monthly gross wage"
BY001004,Drogichin,Brest,2.6,2132.1,Other districts,,0,152,4,32884,21.7,"Drogichin, Brest Region | 2.6% of settlements over 8 km | 2,132 BYN average monthly gross wage"
BY001005,Gancevichi,Brest,0.0,1971.8,Other districts,,0,30,0,23870,21.2,"Gancevichi, Brest Region | 0.0% of settlements over 8 km | 1,972 BYN average monthly gross wage"
BY001006,Ivacevichi,Brest,2.6,2114.6,Other districts,,0,115,3,49467,20.5,"Ivacevichi, Brest Region | 2.6% of settlements over 8 km | 2,115 BYN average monthly gross wage"
BY001007,Ivanovo,Brest,0.0,2260.0,Other districts,,0,107,0,34462,20.0,"Ivanovo, Brest Region | 0.0% of settlements over 8 km | 2,260 BYN average monthly gross wage"
BY001008,Kamenec,Brest,6.1,2399.3,Other districts,,0,212,13,30495,19.1,"Kamenec, Brest Region | 6.1% of settlements over 8 km | 2,399 BYN average monthly gross wage"
BY001009,Kobrin,Brest,1.1,2285.7,Other districts,,0,174,2,81116,17.8,"Kobrin, Brest Region | 1.1% of settlements over 8 km | 2,286 BYN average monthly gross wage"
BY001010,Ljahovichi,Brest,1.3,2128.7,Other districts,,0,77,1,21536,23.5,"Ljahovichi, Brest Region | 1.3% of settlements over 8 km | 2,129 BYN average monthly gross wage"
BY001011,Luninec,Brest,0.0,2211.2,Other districts,,0,76,0,60604,20.3,"Luninec, Brest Region | 0.0% of settlements over 8 km | 2,211 BYN average monthly gross wage"
BY001012,Malorita,Brest,11.4,2137.5,Other districts,,0,88,10,22213,18.9,"Malorita, Brest Region | 11.4% of settlements over 8 km | 2,138 BYN average monthly gross wage"
BY001013,Pinsk,Brest,3.2,2217.6,Other districts,,0,186,6,40229,23.3,"Pinsk, Brest Region | 3.2% of settlements over 8 km | 2,218 BYN average monthly gross wage"
BY001014,Pruzhany,Brest,2.0,2293.5,Other districts,,0,249,5,40571,22.6,"Pruzhany, Brest Region | 2.0% of settlements over 8 km | 2,294 BYN average monthly gross wage"
BY001015,Stolin,Brest,1.1,2002.9,Other districts,,0,95,1,67763,18.2,"Stolin, Brest Region | 1.1% of settlements over 8 km | 2,003 BYN average monthly gross wage"
BY001016,Zhabinka,Brest,0.0,2443.0,Other districts,,0,104,0,24435,18.5,"Zhabinka, Brest Region | 0.0% of settlements over 8 km | 2,443 BYN average monthly gross wage"
BY002001,Bragin,Gomel,6.0,1896.1,Other districts,,0,83,5,11435,15.3,"Bragin, Gomel Region | 6.0% of settlements over 8 km | 1,896 BYN average monthly gross wage"
BY002002,Buda-Koshelevo,Gomel,1.9,2066.7,Other districts,,0,257,5,28408,18.2,"Buda-Koshelevo, Gomel Region | 1.9% of settlements over 8 km | 2,067 BYN average monthly gross wage"
BY002003,Chechersk,Gomel,13.4,2039.0,Other districts,,0,67,9,14101,14.9,"Chechersk, Gomel Region | 13.4% of settlements over 8 km | 2,039 BYN average monthly gross wage"
