Population at the beginning of the period across the territory of the Republic of Belarus
persons
Territory of the Republic of Belarus;Age composition;2025
    Brest region;0 to 4 years of age;60964
    Brest region;By all age;1299912
    Brest region;5 to 9 years of age;82097
    Brest region;10 to 14 years of age;86893
    Brest region;15 to 19 years of age;72066
    Brest region;20 to 24 years of age;65388
    Brest region;25 to 29 years of age;60734
    Brest region;30 to 34 years of age;78595
    Brest region;35 to 39 years of age;99810
    Brest region;40 to 44 years of age;99884
    Brest region;45 to 49 years of age;93703
    Brest region;50 to 54 years of age;91329
    Brest region;55 to 59 years of age;86350
    Brest region;60 to 64 years of age;90361
    Brest region;65 to 69 years of age;87082
    Brest region;70 to 74 years of age;61780
    Brest region;75 to 79 years of age;40473
    Brest region;80 and over;42403
        Baranovichy district;0 to 4 years of age;1146
        Baranovichy district;By all age;26617
        Baranovichy district;5 to 9 years of age;1297
        Baranovichy district;10 to 14 years of age;1629
        Baranovichy district;15 to 19 years of age;1186
        Baranovichy district;20 to 24 years of age;1331
        Baranovichy district;25 to 29 years of age;745
        Baranovichy district;30 to 34 years of age;1012
        Baranovichy district;35 to 39 years of age;1507
        Baranovichy district;40 to 44 years of age;1817
        Baranovichy district;45 to 49 years of age;1842
        Baranovichy district;50 to 54 years of age;1970
        Baranovichy district;55 to 59 years of age;2223
        Baranovichy district;60 to 64 years of age;2467
        Baranovichy district;65 to 69 years of age;2355
        Baranovichy district;70 to 74 years of age;1580
        Baranovichy district;75 to 79 years of age;1088
        Baranovichy district;80 and over;1422
        Bereza district;0 to 4 years of age;2537
        Bereza district;By all age;57008
        Bereza district;5 to 9 years of age;3568
        Bereza district;10 to 14 years of age;3803
        Bereza district;15 to 19 years of age;2494
        Bereza district;20 to 24 years of age;2936
        Bereza district;25 to 29 years of age;2262
        Bereza district;30 to 34 years of age;2826
        Bereza district;35 to 39 years of age;3569
        Bereza district;40 to 44 years of age;4123
        Bereza district;45 to 49 years of age;4032
        Bereza district;50 to 54 years of age;4041
        Bereza district;55 to 59 years of age;4157
        Bereza district;60 to 64 years of age;4473
        Bereza district;65 to 69 years of age;4476
        Bereza district;70 to 74 years of age;3042
        Bereza district;75 to 79 years of age;2013
        Bereza district;80 and over;2656
        Brest district;0 to 4 years of age;2058
        Brest district;By all age;45756
        Brest district;5 to 9 years of age;3181
        Brest district;10 to 14 years of age;3606
        Brest district;15 to 19 years of age;2207
        Brest district;20 to 24 years of age;2126
        Brest district;25 to 29 years of age;1915
        Brest district;30 to 34 years of age;2379
        Brest district;35 to 39 years of age;3542
        Brest district;40 to 44 years of age;3858
        Brest district;45 to 49 years of age;3307
        Brest district;50 to 54 years of age;2841
        Brest district;55 to 59 years of age;3012
        Brest district;60 to 64 years of age;3518
        Brest district;65 to 69 years of age;3228
        Brest district;70 to 74 years of age;2135
        Brest district;75 to 79 years of age;1242
        Brest district;80 and over;1601
        Gantsevichy district;0 to 4 years of age;1073
        Gantsevichy district;By all age;23870
        Gantsevichy district;5 to 9 years of age;1309
        Gantsevichy district;10 to 14 years of age;1551
        Gantsevichy district;15 to 19 years of age;1046
        Gantsevichy district;20 to 24 years of age;1088
        Gantsevichy district;25 to 29 years of age;948
        Gantsevichy district;30 to 34 years of age;1102
        Gantsevichy district;35 to 39 years of age;1483
        Gantsevichy district;40 to 44 years of age;1508
        Gantsevichy district;45 to 49 years of age;1967
        Gantsevichy district;50 to 54 years of age;1939
        Gantsevichy district;55 to 59 years of age;1894
        Gantsevichy district;60 to 64 years of age;1899
        Gantsevichy district;65 to 69 years of age;1782
        Gantsevichy district;70 to 74 years of age;1345
        Gantsevichy district;75 to 79 years of age;937
        Gantsevichy district;80 and over;999
        Drogichin district;0 to 4 years of age;1573
        Drogichin district;By all age;32884
        Drogichin district;5 to 9 years of age;1854
        Drogichin district;10 to 14 years of age;2068
        Drogichin district;15 to 19 years of age;1465
        Drogichin district;20 to 24 years of age;1656
        Drogichin district;25 to 29 years of age;1387
        Drogichin district;30 to 34 years of age;1410
        Drogichin district;35 to 39 years of age;1924
        Drogichin district;40 to 44 years of age;2091
        Drogichin district;45 to 49 years of age;2425
        Drogichin district;50 to 54 years of age;2585
        Drogichin district;55 to 59 years of age;2545
        Drogichin district;60 to 64 years of age;2768
        Drogichin district;65 to 69 years of age;2536
        Drogichin district;70 to 74 years of age;1701
        Drogichin district;75 to 79 years of age;1138
        Drogichin district;80 and over;1758
        Zhabinka district;0 to 4 years of age;1152
        Zhabinka district;By all age;24435
        Zhabinka district;5 to 9 years of age;1573
        Zhabinka district;10 to 14 years of age;1630
        Zhabinka district;15 to 19 years of age;855
        Zhabinka district;20 to 24 years of age;1120
        Zhabinka district;25 to 29 years of age;1206
        Zhabinka district;30 to 34 years of age;1479
        Zhabinka district;35 to 39 years of age;1985
        Zhabinka district;40 to 44 years of age;1872
        Zhabinka district;45 to 49 years of age;1741
        Zhabinka district;50 to 54 years of age;1700
        Zhabinka district;55 to 59 years of age;1746
        Zhabinka district;60 to 64 years of age;1862
        Zhabinka district;65 to 69 years of age;1634
        Zhabinka district;70 to 74 years of age;1070
        Zhabinka district;75 to 79 years of age;750
        Zhabinka district;80 and over;1060
