,df_index,facility_title,address,google_latitude,google_longitude,yandex_latitude,yandex_longitude,distance_km,yandex_address,yandex_precision,facility_type
0,1644,Слободской ФАП,"ул. Школьная, 2, 211328, д. Слобода, Витебский р-н, Витебская обл.",55.64115899999999,27.0347631,55.398426,30.607291,226.47813272811754,"Беларусь, Витебский район, Задубровский сельсовет, деревня Слобода, Школьная улица, 2",exact,
1,1495,Рассветовский ФАП,"ул. Центральная, 39б, 223722, д. Рассвет, Солигорский р-н, Минская обл.",52.815878,27.5364142,52.830161,27.251562,19.205773549693003,"Беларусь, Минская область, Солигорский район, Октябрьский сельсовет, деревня Рассвет, Центральная улица, 39Б",exact,
2,262,Воронский ФАП,"ул. Полоцкая, 3, 231221, д. Ворона, Островецкий р-н, Гродненская обл.",54.75729459999999,25.9569631,54.637814,25.985135,13.40840333372063,"Беларусь, Гродненская область, Островецкий район, Гудогайский сельсовет, агрогородок Мали, Полоцкая улица, 3",exact,
3,437,Добромысленский ФАП,"д. Добромысель, Ивацевичский р-н, Брестская обл.",52.824549,25.7083949,52.824437,25.713889,0.3693612620828323,"Беларусь, Брестская область, Ивацевичский район, Вольковский сельсовет, деревня Добромысль",other,
4,1530,Рудаяворский ФАП,"231486, д. Руда Яворская, Дятловский р-н, Гродненская обл.",53.4042205,25.1117761,53.402911,25.111461,0.14710040868520782,"Беларусь, Гродненская область, Дятловский район, Поречский сельсовет, деревня Руда Яворская",other,
5,443,Докторовичский ФАП,"д. Докторовичи, Копыльский р-н, Минская обл.",53.0944025,27.2409337,53.095273,27.210437,2.038615567749636,"Беларусь, Минская область, Копыльский район, Докторовичский сельсовет, деревня Докторовичи",other,
6,1082,Минковичский ФАП,"222912, ул. Центральная, 11, д. Минковичи, Стародорожский р-н, Минская обл.",53.0073345,28.2351487,53.0129,28.501361,17.821165002830735,"Беларусь, Минская область, Стародорожский район, Новодорожский сельсовет, деревня Минковичи, Центральная улица, 9",near,
7,727,Кашанский ФАП,"213515, д. Кашаны, Кричевский р-н, Могилевская обл.",53.8568741,31.6808753,53.856764,31.681164,0.02254713395162111,"Беларусь, Могилёвская область, Кричевский район, Бельский сельсовет, деревня Кашаны",other,
8,887,Куршиновичский ФАП,"ул. Колхозная, 2, 225393, д. Куршиновичи, Ляховичский р-н, Брестская обл.",52.8845141,26.3238685,52.886752,26.321698,0.28832530575540105,"Беларусь, Брестская область, Ляховичский район, Гончаровский сельсовет, деревня Куршиновичи, Колхозная улица, 2",exact,
9,1204,Новосадский ФАП,"ул. Мира, 1а, 222125, д. Новосады 1-е, Борисовский р-н, Минская обл.",54.194761,28.8506462,54.253594,28.710462,11.217880376229282,"Беларусь, Минская область, Борисовский район, Лошницкий сельсовет, деревня Новосады, улица Мира, 1А",exact,
10,1681,Сошицкий ФАП,"д. 101, 225242, д. Сошица, Березовский р-н, Брестская обл.",52.5966728,24.8103027,52.595995,24.813417,0.22344302509812425,"Беларусь, Брестская область, Берёзовский район, Селецкий сельсовет, деревня Сошица",other,
11,902,Ланьковский ФАП,"213161, д. Ланьково, Белыничский р-н, Могилевская обл.",54.044158,29.7514601,54.047327,29.750927,0.35409137803974233,"Беларусь, Могилёвская область, Белыничский район, Ланьковский сельсовет, агрогородок Ланьково",other,
12,1315,Павловичский ФАП,"213630, д. Павловичи, Климовичский р-н, Могилевская обл.",53.6102315,31.9587964,53.597252,32.047308,6.015631800289602,"Беларусь, Могилёвская область, Климовичский район, Гусарковский сельсовет, деревня Павловичи",other,
13,1844,Узнацкий ФАП,"д. Узнацк, Крупский р-н, Минская обл.",54.4691359,28.9839027,54.466595,28.9801,0.37445067328030285,"Беларусь, Минская область, Крупский район, Игрушковский сельсовет, агрогородок Узнацк",other,
14,552,Заборовский ФАП,"ул. Центральная, 22, 225720, д. Заборовцы, Пинский р-н, Брестская обл.",52.4121612,26.1350416,52.397539,26.106569,2.524745199086627,"Беларусь, Брестская область, Пинский район, Лыщенский сельсовет, деревня Заборовцы, Центральная улица, 22",exact,
