id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243024365,Мушычы,Мушичи,Мушычы,,Mushychy,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (29.05772 52.510792),Мушичи
node/243024368,Міхайлаўскае,Михайловское,Міхайлаўскае,,Mikhailauskae,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (29.066389 52.472931),Михайловское
node/243024359,Савічы,Савичи,Савічы,,Savichy,village,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (29.0552999 52.4171378),Савичи
node/243024361,Стараселле,Староселье,Стараселле,,Staraselle,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (29.0091079 52.4121612),Староселье
node/243024360,Колкі,Колки,Колкі,,Kolki,village,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.9652974 52.4208709),Колки
node/243025156,Брады,Броды,Брады,,Brady,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.875851 52.415691),Броды
node/243025485,Зублішча,Зублище,Зублішча,,Zublishcha,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.89533 52.4259),Зублище
node/243025160,Вялікае Поле,Великое Поле,Вялікае Поле,,Vialikae Pole,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.77173 52.384995),Великое Поле
node/243025163,Капцэвічы,Копцевичи,Капцэвічы,,Kaptsevichy,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.784296 52.415703),Копцевичи
node/243025148,Лучыцы,Лучицы,Лучыцы,,Luchytsy,village,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.79611 52.447102),Лучицы
node/243025482,Красны,Красный,Красны,,Krasny,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.7728595 52.4533954),Красный
node/243025478,Подгаць,Подгать,Подгаць,,Podgats',hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,POINT (28.888809 52.493622),Подгать
node/243025476,Курын,Курин,Курын,,Kuryn,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.89447 52.557819),Курин
node/243025484,Хвойня,Хвойня,Хвойня,,Khvoinia,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.80735 52.5131),Хвойня
node/243025479,Дземенка,Деменка,Дземенка,,Dzemenka,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.75371 52.524689),Деменка
node/243025474,Зацішша,Затишье,Зацішша,,Zatsishsha,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.7530587 52.5748145),Затишье
node/243025477,Ражаноў,Рожанов,Ражаноў,,Razhanou,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.7570511 52.6027628),Рожанов
node/243025470,Парэчча,Поречье,Парэчча,,Parechcha,village,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.752462 52.638992),Поречье
node/2783721552,Рабкор,Рабкор,Рабкор,,Rabkor,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.8435096 52.6078441),Рабкор
node/242978949,Акцябрскі,Октябрьский,Акцябрскі,,Aktsiabrski,town,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.8831413 52.6470794),Октябрьский
node/243025481,Лаўстыкі,Лавстыки,Лаўстыкі,,Laustyki,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,POINT (28.87653 52.609829),Лавстыки
