adm2_pcode,district,adm1_pcode,region,center_lat,center_lon,settlements,over_3km,over_8km,over_13km,mean_distance,median_distance,max_distance,pct_over_3km,pct_over_8km,pct_over_13km,district_match,population_total,population_65plus,pct_65plus,salary
BY001001,Baranovichi,BY001,Brest,53.11114502,25.88905019,280,104,0,0,2.44,2.45,6.56,37.1,0.0,0.0,Baranovichy,26617,6445,24.2,2270.2
BY001002,Bereza,BY001,Brest,52.51804733,25.03550769,106,49,1,0,3.0,2.86,8.63,46.2,0.9,0.0,Bereza,57008,12187,21.4,2427.0
BY001003,Brest,BY001,Brest,51.94033464,23.75626788,179,55,0,0,2.34,2.21,6.82,30.7,0.0,0.0,Brest,45756,8206,17.9,2502.0
BY001004,Drogichin,BY001,Brest,52.16604233,25.10644349,152,67,4,1,2.91,2.6,13.53,44.1,2.6,0.7,Drogichin,32884,7133,21.7,2132.1
BY001005,Gancevichi,BY001,Brest,52.67955589,26.5174305,30,7,0,0,1.85,1.14,7.04,23.3,0.0,0.0,Gantsevichy,23870,5063,21.2,1971.8
BY001006,Ivacevichi,BY001,Brest,52.71673775,25.46582781,115,48,3,0,2.88,2.72,9.94,41.7,2.6,0.0,Ivatsevichy,49467,10139,20.5,2114.6
BY001007,Ivanovo,BY001,Brest,52.1985302,25.62965287,107,38,0,0,2.42,2.59,6.29,35.5,0.0,0.0,Ivanovo,34462,6881,20.0,2260.0
BY001008,Kamenec,BY001,Brest,52.44009514,23.6897756,212,141,13,0,4.06,4.04,11.15,66.5,6.1,0.0,Kamenets,30495,5839,19.1,2399.3
BY001009,Kobrin,BY001,Brest,52.17844009,24.51930775,174,76,2,0,2.85,2.67,10.42,43.7,1.1,0.0,Kobrin,81116,14428,17.8,2285.7
BY001010,Ljahovichi,BY001,Brest,52.91645813,26.18339869,77,32,1,0,2.94,2.66,8.15,41.6,1.3,0.0,Lyakhovichy,21536,5054,23.5,2128.7
BY001011,Luninec,BY001,Brest,52.4330864,26.85901557,76,22,0,0,2.07,1.65,7.41,28.9,0.0,0.0,Luninets,60604,12279,20.3,2211.2
BY001012,Malorita,BY001,Brest,51.83601564,24.09388234,88,62,10,0,4.29,4.34,10.79,70.5,11.4,0.0,Malorita,22213,4191,18.9,2137.5
BY001013,Pinsk,BY001,Brest,52.20210075,26.34603762,186,86,6,0,3.1,2.88,10.03,46.2,3.2,0.0,Pinsk,40229,9371,23.3,2217.6
BY001014,Pruzhany,BY001,Brest,52.68981166,24.31926543,249,142,5,0,3.4,3.38,10.7,57.0,2.0,0.0,Pruzhany,40571,9169,22.6,2293.5
BY001015,Stolin,BY001,Brest,51.88739967,26.98670862,95,24,1,0,1.9,1.32,10.57,25.3,1.1,0.0,Stolin,67763,12318,18.2,2002.9
BY001016,Zhabinka,BY001,Brest,52.21203804,24.04979262,104,47,0,0,2.93,2.87,7.56,45.2,0.0,0.0,Zhabinka,24435,4514,18.5,2443.0
