,facility_title,link,settlement,facility_type,facility_type_eng,address,website
0,Агеевский ФАП,https://healthcare.by/instinfo.php?orgnum=16445,Агеевка,ФАП,FAP,"ул. Сиреневая, 9, 213114, д. Агеевка, Могилевский р-н, Могилевская обл.",
1,Адамовский ФАП,https://healthcare.by/instinfo.php?orgnum=17185,Адамово,ФАП,FAP,"д. Адамово, Воложинский р-н, Минская обл.",
2,Адаховщинский ФАП,https://healthcare.by/instinfo.php?orgnum=18082,Адаховщина,ФАП,FAP,"пер. Парковый, 10, 225372, д. Адаховщина, Ляховичский р-н, Брестская обл.",
3,Азделинский ФАП,https://healthcare.by/instinfo.php?orgnum=15701,Азделино,ФАП,FAP,"ул. Новая, 1а, 247025, д. Азделино, Гомельский р-н, Гомельская обл.",
4,Азинский ФАП,https://healthcare.by/instinfo.php?orgnum=15299,Азино,ФАП,FAP,"211424, д. Азино, Полоцкий р-н, Витебская обл.",
5,Александровский ФАП,https://healthcare.by/instinfo.php?orgnum=15850,Александровка,ФАП,FAP,"ул. Первомайская, 85, 247718, д. Александровка, Калинковичский р-н, Гомельская обл.",
6,Александровский ФАП,https://healthcare.by/instinfo.php?orgnum=16081,Александровка,ФАП,FAP,"д. 9А, 247507, д. Александровка, Речицкий р-н, Гомельская обл.",
7,Алексеевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17747,Алексеевичи,ФАП,FAP,"ул. Ленина, 18, 225834, д. Алексеевичи, Дрогичинский р-н, Брестская обл.",
8,Алексиничский ФАП,https://healthcare.by/instinfo.php?orgnum=15416,Алексиничи,ФАП,FAP,"д. Алексиничи, Сенненский р-н, Витебская обл.",
9,Алешковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16950,Олешковичи,ФАП,FAP,"213170, д. Олешковичи, Белыничский р-н, Могилевская обл.",
10,Альбянский ФАП,https://healthcare.by/instinfo.php?orgnum=14945,Биозавода,ФАП,FAP,"п. Биозавода, Несвижский р-н, Минская обл.",
11,Амбросовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15506,Амбросовичи,ФАП,FAP,"211262, д. Амбросовичи, Шумилинский р-н, Витебская обл.",
12,"Амховский ФАП, ФАП",https://healthcare.by/instinfo.php?orgnum=29157,Амховая 1-я,ФАП,FAP,"ул. Молодежная, 5, 213109, д. Амховая 1-я, Могилевский р-н, Могилевская обл.",
13,Ананичский ФАП,https://healthcare.by/instinfo.php?orgnum=15117,Ананичи,ФАП,FAP,"д. Ананичи, Пуховичский р-н, Минская обл.",
14,Ананчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=17327,Ананчицы,ФАП,FAP,"ул. Козлова, 1, 223741, д. Ананчицы, Солигорский р-н, Минская обл.",
15,Андроновский ФАП,https://healthcare.by/instinfo.php?orgnum=15338,Андроны,ФАП,FAP,"Юньковский с/с, 211875, д. Андроны, Поставский р-н, Витебская обл.",
16,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15756,Антоновка,ФАП,FAP,"ул. Комсомольская, 37, 247073, д. Антоновка, Добрушский р-н, Гомельская обл.",
17,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=16661,Антоновка,ФАП,FAP,"ул. Юбилейная, 5, 213220, д. Антоновка, Чаусский р-н, Могилевская обл.",
