,facility_title,link,settlement,facility_type,facility_type_eng,address,website,latitude,longitude
0,Агеевский ФАП,https://healthcare.by/instinfo.php?orgnum=16445,Агеевка,ФАП,FAP,"ул. Сиреневая, 9, 213114, д. Агеевка, Могилевский р-н, Могилевская обл.",,53.959718,30.48202
1,Адамовский ФАП,https://healthcare.by/instinfo.php?orgnum=17185,Адамово,ФАП,FAP,"д. Адамово, Воложинский р-н, Минская обл.",,54.138781,26.308645
2,Адаховщинский ФАП,https://healthcare.by/instinfo.php?orgnum=18082,Адаховщина,ФАП,FAP,"пер. Парковый, 10, 225372, д. Адаховщина, Ляховичский р-н, Брестская обл.",,53.153936,26.180716
3,Азделинский ФАП,https://healthcare.by/instinfo.php?orgnum=15701,Азделино,ФАП,FAP,"ул. Новая, 1а, 247025, д. Азделино, Гомельский р-н, Гомельская обл.",,52.540376,30.744805
4,Азинский ФАП,https://healthcare.by/instinfo.php?orgnum=15299,Азино,ФАП,FAP,"211424, д. Азино, Полоцкий р-н, Витебская обл.",,55.623392,28.643457
5,Александровский ФАП,https://healthcare.by/instinfo.php?orgnum=16081,Александровка,ФАП,FAP,"д. 9А, 247507, д. Александровка, Речицкий р-н, Гомельская обл.",,52.315905,30.582758
6,Александровский ФАП,https://healthcare.by/instinfo.php?orgnum=15850,Александровка,ФАП,FAP,"ул. Первомайская, 85, 247718, д. Александровка, Калинковичский р-н, Гомельская обл.",,52.153072,29.499695
7,Алексеевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17747,Алексеевичи,ФАП,FAP,"ул. Ленина, 18, 225834, д. Алексеевичи, Дрогичинский р-н, Брестская обл.",,52.279236,24.996368
8,Алексиничский ФАП,https://healthcare.by/instinfo.php?orgnum=15416,Алексиничи,ФАП,FAP,"д. Алексиничи, Сенненский р-н, Витебская обл.",,54.770733,29.972379
9,Алешковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16950,Олешковичи,ФАП,FAP,"213170, д. Олешковичи, Белыничский р-н, Могилевская обл.",,54.037942,29.635951
10,Альбянский ФАП,https://healthcare.by/instinfo.php?orgnum=14945,Биозавода,ФАП,FAP,"п. Биозавода, Несвижский р-н, Минская обл.",,53.240404,26.591309
11,Амбросовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15506,Амбросовичи,ФАП,FAP,"211262, д. Амбросовичи, Шумилинский р-н, Витебская обл.",,55.319561,29.476896
12,"Амховский ФАП, ФАП",https://healthcare.by/instinfo.php?orgnum=29157,Амховая 1-я,ФАП,FAP,"ул. Молодежная, 5, 213109, д. Амховая 1-я, Могилевский р-н, Могилевская обл.",,53.794321,30.526029
13,Ананичский ФАП,https://healthcare.by/instinfo.php?orgnum=15117,Ананичи,ФАП,FAP,"д. Ананичи, Пуховичский р-н, Минская обл.",,53.631075,28.128722
14,Ананчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=17327,Ананчицы,ФАП,FAP,"ул. Козлова, 1, 223741, д. Ананчицы, Солигорский р-н, Минская обл.",,52.528714,27.650881
15,Андроновский ФАП,https://healthcare.by/instinfo.php?orgnum=15338,Андроны,ФАП,FAP,"Юньковский с/с, 211875, д. Андроны, Поставский р-н, Витебская обл.",,55.058812,26.918009
16,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15849,Антоновка,ФАП,FAP,"ул. Советская, 44А, 247730, д. Антоновка, Калинковичский р-н, Гомельская обл.",,52.163432,29.281242
17,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15810,Антоновка,ФАП,FAP,"ул. Интернациональная, 12, 247248, д. Антоновка, Жлобинский р-н, Гомельская обл.",,52.983243,30.149141
18,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15756,Антоновка,ФАП,FAP,"ул. Комсомольская, 37, 247073, д. Антоновка, Добрушский р-н, Гомельская обл.",,52.245392,31.23683
19,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=16661,Антоновка,ФАП,FAP,"ул. Юбилейная, 5, 213220, д. Антоновка, Чаусский р-н, Могилевская обл.",,53.813384,30.638094
20,Антопольевский ФАП,https://healthcare.by/instinfo.php?orgnum=15473,Антополье,ФАП,FAP,"ул. Гагарина, 38, 211157, д. Антополье, Чашникский р-н, Витебская обл.",,54.661953,29.389588
21,Арабовщинский ФАП,https://healthcare.by/instinfo.php?orgnum=17630,Арабовщина,ФАП,FAP,"ул. Карвата, 1, 225314, д. Арабовщина, Барановичский р-н, Брестская обл.",,53.261949,26.042106
22,Артуковский ФАП,https://healthcare.by/instinfo.php?orgnum=16080,Артуки,ФАП,FAP,"ул. Советская, 37а, 247503, д. Артуки, Речицкий р-н, Гомельская обл.",,52.149155,30.533054
23,Асаревичский ФАП,https://healthcare.by/instinfo.php?orgnum=15630,Асаревичи,ФАП,FAP,"ул. Колхозная, 6, 247662, д. Асаревичи, Брагинский р-н, Гомельская обл.",,51.60872,30.49448
24,Аталезский ФАП,https://healthcare.by/instinfo.php?orgnum=16944,Аталезь,ФАП,FAP,"ул. Мамонтова, 5, 222673, аг. Аталезь, Столбцовский р-н, Минская обл.",,53.571589,26.59899
