X,Y,fid,id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,settlement_key
5588678.30023745,3422121.03207229,6,node/243025156,Брады,Броды,Брады,,Brady,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,Броды
5589658.16394794,3423565.49939269,7,node/243025485,Зублішча,Зублище,Зублішча,,Zublishcha,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,Зублище
5582745.69062837,3416984.64248707,8,node/243025160,Вялікае Поле,Великое Поле,Вялікае Поле,,Vialikae Pole,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,Великое Поле
5582689.63904623,3420523.51617497,9,node/243025163,Капцэвічы,Копцевичи,Капцэвічы,,Kaptsevichy,hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,Копцевичи
5587282.20392272,3430770.23921058,12,node/243025478,Подгаць,Подгать,Подгаць,,Podgats',hamlet,Belarus,BY002,Gomel,BY002015,Petrikov,Подгать
5585801.76192477,3437806.92621313,13,node/243025476,Курын,Курин,Курын,,Kuryn,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Курин
5581405.54309215,3431454.09477154,14,node/243025484,Хвойня,Хвойня,Хвойня,,Khvoinia,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Хвойня
5577572.73176563,3431774.53526233,15,node/243025479,Дземенка,Деменка,Дземенка,,Dzemenka,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Деменка
5576096.0596618,3437182.54895466,16,node/243025474,Зацішша,Затишье,Зацішша,,Zatsishsha,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Затишье
5575556.19500211,3440273.31684871,17,node/243025477,Ражаноў,Рожанов,Ражаноў,,Razhanou,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Рожанов
5574219.94593468,3444110.57795267,18,node/243025470,Парэчча,Поречье,Парэчча,,Parechcha,village,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Поречье
5581041.46093855,3442324.50509591,19,node/2783721552,Рабкор,Рабкор,Рабкор,,Rabkor,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Рабкор
5584854.86399491,3442789.3652759,22,node/2784851739,Кавалі,Ковали,Кавалі,,Kavali,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Ковали
5584053.25225586,3442048.72807017,23,node/243025471,Кавалі,Ковали,Кавалі,,Kavali,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Ковали
5588977.08801027,3444017.5937929,24,node/243024339,Гаць,Гать,Гаць,,Gats',village,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Гать
5593899.63771515,3440880.08752747,26,node/243024343,Ніўнае,Нивное,Ніўнае,,Niunae,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Нивное
5591570.27233509,3449041.43060775,27,node/243024346,Заазерʼе,Заозерье,Заазерʼе,,Zaazer'e,hamlet,Belarus,BY002,Gomel,BY002014,Oktjabrsky,Заозерье
